y_true,y_score
0,0.5349185532227163
1,0.7920840049192317
0,0.7506180912315545
1,0.5983152987705921
1,0.6911343396756479
0,0.34642295156712455
0,0.4764206140860971
0,0.2811560569279897
0,0.03668072028674619
0,0.24475251225812505
0,0.1325885169533759
0,0.2026057216456337
0,0.12415116102425042
0,0.09489205476732052
0,0.10217402351238948
1,0.6542247954577937
0,0.14211695731196625
0,0.030870083486680154
0,0.3319128226701433
0,0.20481352960969362
0,0.22747547266929624
0,0.644257499264079
1,0.481806469332044
1,0.2977003035801074
0,0.0494979010411645
0,0.3111263959782466
1,0.38624592566741506
0,0.05312236932211917
0,0.16494492466530325
0,0.20328808850791064
0,0.03626142589357346
0,0.2746230090283712
0,0.06655512796445424
1,0.04555319180886228
0,0.07794423580510566
0,0.12533177940593285
0,0.11622032192962735
0,0.6482086454233505
0,0.023627420522840312
0,0.1347285868196687
0,0.026249487027594165
0,0.2476206406027297
0,0.18571695599274135
1,0.3213379117297036
0,0.4834217797128467
0,0.18227755569939286
0,0.3302090538219146
0,0.5440502358138523
1,0.4014320656612371
1,0.12421037367258672
0,0.7051446336846615
0,0.026230362007680152
0,0.33733175301331203
0,0.09008937146134911
1,0.280734836913223
0,0.058361538408789236
1,0.10592178295260384
0,0.22560554995472745
1,0.3897689710330921
0,0.13120184934788717
1,0.3980857814078627
0,0.1390098305994125
1,0.7312781242651291
0,0.3579248137477301
1,0.5617103718723377
0,0.19424737888298424
0,0.21663530959322808
1,0.7974600169418598
0,0.30419926199628494
0,0.2901671827870145
0,0.44256352501547197
0,0.020115860273161337
1,0.35379825724167346
0,0.028935872302474543
0,0.07701626802914256
1,0.2312566011158339
0,0.5489123181467057
0,0.04887521738214855
1,0.3841755271467958
1,0.46464311566385164
0,0.2952420265074919
0,0.031020993377177248
1,0.3051808697322992
0,0.09899703043216901
1,0.18089365069866473
0,0.49167585182980267
1,0.35373148788705805
0,0.2051913796356158
0,0.15195673191716796
1,0.7491684000767663
0,0.2592142240210347
1,0.20370228193763631
0,0.12328979404783906
1,0.3906294868397112
0,0.029015109783552904
0,0.7813361525193224
0,0.521931633965914
0,0.10839263392637163
0,0.2467760399604478
0,0.0158746499467116
0,0.265849995739927
0,0.29266462964272927
0,0.05550900398926092
1,0.06629315366218386
0,0.19370712163352108
0,0.12984551108814094
1,0.12514458177929239
0,0.5178918672498605
0,0.0789028766517783
1,0.2977833239660375
1,0.39743914707829625
0,0.54802023803408
0,0.36537837486704167
0,0.10774224738932281
1,0.47176953149181267
0,0.1420282341622464
0,0.20497264287516445
0,0.6584905707725869
0,0.3806672404643335
0,0.3357431374061964
1,0.49238654935046006
0,0.23017722545500718
0,0.04246496856900799
0,0.7330149827520085
1,0.12612854997833897
0,0.6777698168645334
0,0.28106737353139943
0,0.1755436587704637
0,0.42114664617640996
1,0.12421758359206395
1,0.4105264642439149
0,0.05818965473844636
0,0.15996482345871912
0,0.010862462117865963
0,0.12056734208621332
1,0.2418452746109544
1,0.08486206676192763
0,0.20431742806192446
0,0.10711276039489408
1,0.259921212001172
0,0.14644832281732886
0,0.1438164521485942
0,0.048472844269829146
0,0.4185380522650599
0,0.6235226060799886
0,0.3056118296082593
0,0.20633176570187592
0,0.26641889478250996
0,0.4046114750850082
0,0.1404281474271866
0,0.06479655662200688
0,0.12740349295651024
0,0.3924449093069089
0,0.20049413341053657
0,0.3997856349376006
1,0.020514545662372347
1,0.1138841145000446
0,0.11557379843618146
0,0.553349718479428
0,0.1648090981379916
1,0.29245274265513177
0,0.24409279156393615
0,0.2776051484144675
1,0.050203448694585574
0,0.044197998145092364
1,0.15215416351497346
0,0.43852805216817947
0,0.6507551538341779
1,0.6818339061497243
1,0.3072778352116605
0,0.421965045791817
1,0.5333504030067983
0,0.03767115037453444
0,0.14595613803744023
1,0.8118513739427886
0,0.07885858815332855
1,0.3181954131004737
0,0.4955576035229811
0,0.016003199957116784
0,0.10524877672053926
1,0.045093546068830724
0,0.158228182748737
0,0.029537095690720418
1,0.5787546487249977
0,0.1663726970212762
1,0.05542040098588673
1,0.08440947903758793
0,0.08843353837400951
0,0.3162430210976077
0,0.030906044776397478
0,0.03251110722464358
0,0.14649449863971198
0,0.3571050975935599
0,0.3229250655127067
0,0.7284531360890418
1,0.06246658140788161
