y_true,y_score
0,1.0829457197116714e-05
0,2.8031822078627356e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.9236828782198676e-05
0,2.967211021269957e-05
0,5.822646988834888e-05
0,1.2125751460944164e-05
0,0.9998136396259493
0,1.0829457197116714e-05
0,4.520347264750382e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.1573961681374895e-05
0,0.007004875261063394
0,1.1573961681374895e-05
0,1.0829457197116714e-05
0,0.001415673472440324
0,4.707470417905974e-05
0,1.0829457197116714e-05
0,1.0875557184684672e-05
0,1.0829457197116714e-05
0,8.977679539097267e-05
0,2.9570293865835677e-05
0,1.0829457197116714e-05
0,2.7308834143932153e-05
0,1.6486801362319426e-05
0,1.0005835406529649e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.9244276456334988e-05
0,9.085114573951326e-10
0,1.0005835406529649e-05
0,1.0829457197116714e-05
0,0.0001641268933823723
0,1.0829457197116714e-05
0,8.025347737681424e-06
0,1.0875557184684672e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,2.9573550558393878e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,0.0013382852382054665
0,1.5168353403497448e-05
0,4.327541560995735e-05
0,1.0829457197116714e-05
0,3.691711361572914e-05
0,1.5749856630008276e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.268963109902108e-05
0,1.0875557184684672e-05
0,2.848852131652525e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.7465726083713236e-10
0,1.0829457197116714e-05
0,2.5874522664688046e-05
0,1.2635841599389828e-05
0,3.2007820543800157e-05
0,1.0829457197116714e-05
0,1.0005835406529649e-05
0,1.0829457197116714e-05
0,2.9546336582356117e-05
0,7.061068875058799e-05
0,5.390930915523357e-06
0,4.850847823580074e-16
0,7.509109013041634e-06
0,1.0829457197116714e-05
0,4.621098220720637e-11
0,8.690222272197845e-06
0,0.004819065313437626
0,1.0829457197116714e-05
0,1.3129029376310813e-05
0,1.0829457197116714e-05
0,1.0875557184684672e-05
0,1.0829457197116714e-05
0,0.0003609256786902828
0,3.847742630614021e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0116889439703547e-05
0,2.6566318574842063e-05
0,1.0875557184684672e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,3.058902089827019e-05
0,1.268963109902108e-05
0,1.2141141112937558e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0116889439703547e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,2.1214126999089112e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.5401448947355573e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.268963109902108e-05
0,1.5401448947355573e-05
0,1.0005835406529649e-05
0,0.0015651506317127652
0,2.2178295052961183e-05
0,0.00010218096705338872
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0005835406529649e-05
1,0.9998795772757202
0,8.025347737681424e-06
0,1.4230114581894748e-05
0,1.1573961681374895e-05
0,1.0074005307717059e-05
0,1.797044093181882e-05
0,0.0357720537594729
0,1.0829457197116714e-05
0,0.003964300445742531
0,0.00025999622483295523
0,1.5401448947355573e-05
0,1.3020358433529372e-05
0,1.2125751460944164e-05
1,1.0829457197116714e-05
0,1.717490456933862e-05
0,1.0829457197116714e-05
0,1.9244276456334988e-05
0,2.5973909464134546e-05
0,1.227248551901586e-05
0,2.3362391864785346e-05
0,1.0829457197116714e-05
0,1.268963109902108e-05
0,8.025347737681424e-06
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.2125751460944164e-05
0,1.268963109902108e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,0.0029903132695341442
1,0.006320268498064059
0,1.268963109902108e-05
0,1.0829457197116714e-05
0,5.354551664801283e-05
0,1.1674838944826183e-05
0,1.0829457197116714e-05
0,1.9189700143833493e-05
0,1.0829457197116714e-05
0,1.9244276456334988e-05
0,1.0116889439703547e-05
0,1.0829457197116714e-05
0,1.0875557184684672e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
1,0.9999985958734858
0,1.0829457197116714e-05
0,3.847742630614021e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
0,1.0829457197116714e-05
