y_true,y_score
0,6.010522241603459e-09
0,1.5317145209570555e-07
0,1.2058076892726311e-06
0,5.294380676768992e-07
0,1.1199554949700558e-08
0,1.1801654810137545e-07
0,1.0598227385349787e-07
0,0.002308273811406866
0,7.156456771738178e-09
0,0.0005367092490816033
0,4.245291081542194e-07
0,5.7132149311481356e-09
0,1.4559131952374941e-08
0,3.268689407041658e-07
0,2.5015767550258933e-06
0,5.622257906275826e-09
0,0.0029420546626021354
0,1.2008049572437763e-08
0,1.5732943558096573e-08
0,4.7992191189031265e-05
0,0.0002775631302200348
0,0.0001109210976010983
0,6.784813980831818e-07
0,3.081973773065855e-06
0,3.455409871200619e-06
0,3.303216787380881e-07
0,2.5969815864766527e-06
0,4.361672656844406e-05
0,5.693664327020146e-06
0,2.6358195389078195e-08
0,1.0758338537816002e-08
0,2.9480072012003627e-09
0,1.1105076531818055e-08
0,3.48646740460891e-06
0,2.9442961343168472e-08
0,3.5159850759310448e-09
0,0.0005507419592128129
0,4.082361515606281e-08
0,1.4221265528711936e-07
0,3.542304441395005e-09
0,1.1440208307496433e-07
0,1.160581582052908e-08
0,1.108012452421986e-07
0,7.33430309718105e-09
0,8.819141222177075e-07
0,5.972195178849269e-08
0,5.378775486524465e-09
0,3.526743675449733e-05
0,2.4869115128107235e-05
0,9.76850107036189e-08
0,9.427964395122579e-10
0,1.4045407292301827e-05
0,0.001895236315319943
0,1.2004836031018133e-08
0,4.582076440395918e-08
0,3.8721715555019516e-08
0,9.532783199796483e-09
0,1.3176079028706983e-07
0,9.148083922146541e-07
0,6.24068954904526e-09
0,5.364987324093304e-09
0,6.683923288954218e-08
0,9.809501058433647e-08
0,2.4324322284186937e-07
0,5.315551923862681e-06
0,9.941913910031566e-07
0,3.101422354394153e-07
0,9.221769754136852e-08
0,1.85681040206443e-07
0,1.1755371237083222e-08
0,6.684395009077086e-07
0,6.547996583799468e-07
0,6.282022523373174e-06
0,5.464327002955336e-05
0,1.522625489724436e-07
0,2.617378855019957e-09
0,3.7842286635850335e-07
0,0.0004421992623050587
0,5.0518809183017995e-05
0,7.978858885009373e-08
0,1.4821575423287779e-05
0,1.0928106922997299e-07
0,1.9826996824508943e-06
