y_true,y_score
0,1.3982714605153082e-06
0,3.2689113838351034e-06
0,3.321990788685012e-09
0,3.54670241639089e-05
0,0.0002389761904020827
0,2.080429558220866e-05
0,2.5623087397447754e-06
0,2.254436863070663e-06
0,1.659044152062869e-08
0,5.6066081276956053e-08
0,3.615711352952959e-07
0,5.5744806936866706e-08
0,1.3597327573686235e-06
0,1.4845745901235509e-06
0,0.01114539589190971
0,6.221031196700552e-05
0,1.2257689908781867e-08
0,9.595493265884586e-05
0,2.675015931816747e-05
0,8.138321731120978e-06
0,6.323061134570676e-07
0,3.239191824254135e-05
0,5.113849592105894e-08
0,3.446691215978147e-06
0,2.894233737411561e-06
0,3.5497913423589555e-07
0,1.597488879159392e-07
0,1.7606783955176953e-06
0,1.711070408132414e-07
0,1.0606643986452938e-05
0,6.781022467460081e-09
0,2.559425070412497e-08
0,4.054338619231672e-08
0,0.0020854610215472096
0,1.8924755614882017e-06
0,3.2002707666737314e-08
0,1.1043513945330648e-06
0,7.58040064422809e-08
0,3.3504264937055203e-08
0,4.0356613554433384e-08
0,2.371604115238121e-08
0,2.2576793172586427e-09
0,0.00018080699609783845
0,1.611322222170092e-06
0,2.4364167928103323e-07
0,1.1175318409479516e-06
0,1.0513967687785406e-08
0,1.9875517249534872e-06
0,2.179003195694412e-07
0,2.0849797235882773e-06
0,1.3793945039690014e-06
0,1.191393012401741e-05
0,6.4394743313261425e-06
0,6.200954399500316e-05
0,9.548333063606106e-07
0,0.0001723529092800665
0,2.6989174943232424e-06
0,2.5336758052058472e-08
0,0.0015797405518805593
0,2.1727947509657614e-08
0,1.032755499521038e-06
0,1.624254355814896e-08
0,1.2593148958679967e-06
0,8.235921795307099e-08
0,3.731542514790822e-05
0,2.9037100308781856e-05
0,2.5695721647924606e-07
0,2.086730489631897e-06
0,4.798156302033778e-07
0,7.851379168457188e-07
0,9.117932860711188e-06
0,1.0241205191664041e-07
0,2.0630363097906815e-07
0,3.3449073299677116e-06
0,5.944884311363368e-05
0,1.281266403156854e-07
0,5.367458862480489e-06
0,4.476779002944881e-09
0,1.098874343907208e-05
0,1.4475837160997876e-06
0,8.885462492345937e-10
0,4.973463725882014e-08
0,9.57285776787396e-08
0,4.0527100635648506e-07
0,1.2090720925063753e-07
0,7.595029430068485e-05
0,1.7037759087562843e-05
0,9.475822287194026e-07
0,3.0768633310991382e-06
0,1.8773068811142238e-07
0,7.298039601534551e-06
0,4.423787501657221e-06
0,2.1095451496599907e-05
0,5.337145752046414e-07
0,2.2968464901104995e-07
0,8.871772471591965e-08
0,2.152950146148484e-06
0,0.014536942302619725
0,2.5701386611625084e-08
0,3.3417347694074767e-05
0,7.102917759017578e-08
0,1.349740312034705e-07
0,6.755640056749651e-07
0,4.0993836491202126e-08
0,1.993421584530456e-06
0,5.049105570839527e-07
0,4.188907179091952e-06
0,4.458307401063002e-06
0,3.2694549260677484e-05
0,0.00016601513364306354
0,2.7516529885140444e-05
0,0.019817438819473884
0,4.528400613238765e-06
0,1.6278908939722705e-05
0,2.4454953668358894e-06
0,2.0887622049796854e-06
1,0.018230063726909614
0,2.244987321496447e-06
0,3.404193400906025e-08
0,4.827203017647379e-06
0,4.94522463962049e-05
0,8.277294544642464e-07
0,1.057626518646466e-07
0,6.508565642536967e-07
0,1.5030185980393634e-07
0,0.012574878025902013
0,4.283531072381844e-06
0,0.0005119828632276778
0,7.701549067651001e-07
0,9.795158834620463e-05
0,3.2301187975145006e-06
0,8.416049675116587e-09
0,3.6577764522383073e-06
0,0.0021563687802967357
0,4.199155887307274e-07
1,7.218609862014629e-07
0,1.438564972474462e-07
0,7.064546657207059e-08
0,2.1245877928244787e-06
0,2.1140357071243144e-06
0,8.947938418932532e-08
0,1.1515429165547902e-06
0,8.121344210175764e-07
0,1.2545262777168388e-06
0,0.002892090890394026
0,5.46111756727064e-07
0,3.5198324375533625e-08
0,0.00012284520633126542
0,3.904455772502593e-08
0,5.901690375603355e-07
0,2.1255957089303256e-06
0,5.749881064311562e-07
0,7.679763842019982e-09
0,1.1116732072074505e-08
0,6.198628499680728e-07
0,3.1736763932241544e-09
0,6.906041589502474e-09
0,1.467993608230182e-06
0,9.941188215364013e-08
0,1.1879759979583272e-07
0,8.086657818573066e-06
0,3.238598191549125e-08
0,1.7159422199769065e-07
1,0.002360788682954025
0,9.961437459861482e-06
0,1.1931094534330514e-07
0,6.445120020781346e-05
0,5.649920527547571e-07
0,0.00036479489044747155
0,6.0901661852217e-09
0,5.777230033127981e-06
0,1.4567069219555732e-06
0,9.674107578339218e-09
0,6.3328918873890175e-06
0,8.308216684793042e-09
0,1.60482971592935e-08
0,4.955457594285384e-07
0,3.5677698225405716e-07
0,7.533513667031708e-09
0,1.2379584374172168e-07
0,1.1804134690413924e-06
